ERROR:root:Invalid employee data: {'id': 2, 'name': 'Ty Hofer', 'datetime': '2021-05-30T05:43:46Z', 'department': 8, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 937, 'name': <NA>, 'datetime': '2021-03-26T20:41:40Z', 'department': 3, 'job': 60}
ERROR:root:Invalid employee data: {'id': 942, 'name': 'Joaquin Kamenar', 'datetime': '2021-11-29T11:54:05Z', 'department': <NA>, 'job': 64}
ERROR:root:Invalid employee data: {'id': 955, 'name': 'Shena Gore', 'datetime': '2021-08-16T21:25:08Z', 'department': 9, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 961, 'name': 'Lionello Andriesse', 'datetime': '2022-02-12T05:19:44Z', 'department': 8, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 970, 'name': <NA>, 'datetime': '2021-08-08T06:06:40Z', 'department': 4, 'job': 33}
ERROR:root:Invalid employee data: {'id': 1049, 'name': <NA>, 'datetime': '2021-05-08T23:05:13Z', 'department': 6, 'job': 91}
ERROR:root:Invalid employee data: {'id': 1092, 'name': 'Floria Bineham', 'datetime': <NA>, 'department': 7, 'job': 137}
ERROR:root:Invalid employee data: {'id': 1095, 'name': 'Lowell Blaber', 'datetime': <NA>, 'department': 9, 'job': 141}
ERROR:root:Invalid employee data: {'id': 1098, 'name': 'Colman Bleesing', 'datetime': '2021-10-12T17:55:32Z', 'department': <NA>, 'job': 77}
ERROR:root:Invalid employee data: {'id': 1110, 'name': 'Renee Bowe', 'datetime': '2021-08-31T20:26:32Z', 'department': <NA>, 'job': 112}
ERROR:root:Invalid employee data: {'id': 1130, 'name': <NA>, 'datetime': '2021-10-19T08:43:38Z', 'department': 1, 'job': 128}
ERROR:root:Invalid employee data: {'id': 1170, 'name': <NA>, 'datetime': '2021-03-15T10:47:48Z', 'department': 7, 'job': 130}
ERROR:root:Invalid employee data: {'id': 1195, 'name': <NA>, 'datetime': '2021-08-13T09:22:18Z', 'department': 10, 'job': 54}
ERROR:root:Invalid employee data: {'id': 1252, 'name': 'Merrily Di Biaggi', 'datetime': <NA>, 'department': 7, 'job': 19}
ERROR:root:Invalid employee data: {'id': 1279, 'name': 'Phaidra Dubbin', 'datetime': '2021-10-25T12:19:32Z', 'department': <NA>, 'job': 38}
ERROR:root:Invalid employee data: {'id': 1304, 'name': 'Tildie Elby', 'datetime': '2021-09-29T14:02:27Z', 'department': 8, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 1322, 'name': <NA>, 'datetime': '2021-03-26T23:44:34Z', 'department': 5, 'job': 47}
ERROR:root:Invalid employee data: {'id': 1323, 'name': 'Erv Fazan', 'datetime': <NA>, 'department': 8, 'job': 34}
ERROR:root:Invalid employee data: {'id': 1413, 'name': 'Berna Grigorkin', 'datetime': '2021-08-02T13:21:07Z', 'department': <NA>, 'job': 103}
ERROR:root:Invalid employee data: {'id': 1423, 'name': 'Rozelle Hadleigh', 'datetime': '2021-08-08T01:23:27Z', 'department': <NA>, 'job': 108}
ERROR:root:Invalid employee data: {'id': 1432, 'name': 'Jerrine Hammerson', 'datetime': '2022-01-20T22:47:27Z', 'department': <NA>, 'job': 98}
ERROR:root:Invalid employee data: {'id': 1463, 'name': 'Shell Houdhury', 'datetime': '2022-01-04T17:20:18Z', 'department': <NA>, 'job': 50}
ERROR:root:Invalid employee data: {'id': 1467, 'name': 'Sully Huc', 'datetime': <NA>, 'department': 8, 'job': 148}
ERROR:root:Invalid employee data: {'id': 1474, 'name': 'Calhoun Iacovolo', 'datetime': '2021-03-06T03:02:20Z', 'department': 7, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 1483, 'name': 'Paco Ivain', 'datetime': <NA>, 'department': 5, 'job': 41}
ERROR:root:Invalid employee data: {'id': 1493, 'name': <NA>, 'datetime': '2021-03-20T10:48:47Z', 'department': 10, 'job': 153}
ERROR:root:Invalid employee data: {'id': 1523, 'name': 'Darelle Kenaway', 'datetime': '2021-05-08T10:51:07Z', 'department': 7, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 1561, 'name': 'Saxon Lehmann', 'datetime': '2021-10-28T18:29:31Z', 'department': 3, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 1589, 'name': 'Emmeline MacGrath', 'datetime': '2021-12-12T04:57:39Z', 'department': 11, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 1590, 'name': 'Niven Mackrell', 'datetime': '2021-05-17T07:18:48Z', 'department': <NA>, 'job': 85}
ERROR:root:Invalid employee data: {'id': 1613, 'name': 'Sigrid Matysik', 'datetime': '2022-02-15T21:20:01Z', 'department': <NA>, 'job': 143}
ERROR:root:Invalid employee data: {'id': 1686, 'name': 'Bessy Oakeby', 'datetime': <NA>, 'department': 4, 'job': 53}
ERROR:root:Invalid employee data: {'id': 1688, 'name': <NA>, 'datetime': '2022-01-20T19:51:12Z', 'department': 11, 'job': 100}
ERROR:root:Invalid employee data: {'id': 1714, 'name': 'Mala Pales', 'datetime': '2021-05-04T04:52:48Z', 'department': <NA>, 'job': 70}
ERROR:root:Invalid employee data: {'id': 1780, 'name': 'Annabelle Reilly', 'datetime': <NA>, 'department': 6, 'job': 46}
ERROR:root:Invalid employee data: {'id': 1799, 'name': <NA>, 'datetime': '2021-03-10T07:35:09Z', 'department': 8, 'job': 111}
ERROR:root:Invalid employee data: {'id': 1814, 'name': 'Theodore Sammut', 'datetime': <NA>, 'department': 6, 'job': 86}
ERROR:root:Invalid employee data: {'id': 1858, 'name': <NA>, 'datetime': '2021-06-28T03:01:01Z', 'department': 6, 'job': 144}
ERROR:root:Invalid employee data: {'id': 1860, 'name': 'Marin Slipper', 'datetime': '2022-02-08T10:39:02Z', 'department': 4, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 1869, 'name': 'Cesaro Solomon', 'datetime': <NA>, 'department': 6, 'job': 66}
ERROR:root:Invalid employee data: {'id': 1925, 'name': 'Cary Tothe', 'datetime': <NA>, 'department': 3, 'job': 104}
ERROR:root:Invalid employee data: {'id': 1987, 'name': 'Shaina Wyldish', 'datetime': '2021-12-13T10:05:09Z', 'department': <NA>, 'job': 102}
